"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","apple.com","4,377,825","100"
"2","youtube.com","16,875,741","100"
"3","www.google.com","11,344,246","100"
"4","play.google.com","2,226,225","99"
"5","docs.google.com","2,119,744","99"
"6","support.google.com","4,145,202","99"
"7","www.blogger.com","23,943,269","99"
"8","microsoft.com","3,993,374","99"
"9","accounts.google.com","2,521,948","98"
"10","adobe.com","2,900,022","98"
"11","mozilla.org","1,861,998","98"
"12","linkedin.com","8,296,118","98"
"13","plus.google.com","12,779,783","98"
"14","wordpress.org","9,201,321","98"
"15","en.wikipedia.org","5,323,635","98"
"16","sites.google.com","1,601,218","97"
"17","googleusercontent.com","2,108,459","97"
"18","maps.google.com","4,378,459","97"
"19","bp.blogspot.com","15,384,925","97"
"20","cloudflare.com","4,123,489","97"
"21","youtu.be","3,586,228","97"
"22","drive.google.com","1,605,783","97"
"23","vimeo.com","3,028,891","97"
"24","github.com","1,848,440","97"
"25","bbc.co.uk","1,393,108","96"
"26","vk.com","1,596,852","96"
"27","amazon.com","3,913,721","96"
"28","europa.eu","1,617,949","96"
"29","creativecommons.org","1,497,422","96"
"30","facebook.com","44,171,431","96"
"31","medium.com","1,030,720","96"
"32","dailymotion.com","1,062,610","96"
"33","line.me","524,085","96"
"34","istockphoto.com","2,973,868","96"
"35","imdb.com","1,222,991","95"
"36","fr.wikipedia.org","510,844","95"
"37","www.yahoo.com","909,909","95"
"38","pt.wikipedia.org","352,049","95"
"39","forbes.com","886,091","95"
"40","dropbox.com","904,173","95"
"41","uol.com.br","536,246","95"
"42","news.yahoo.com","563,811","95"
"43","google.com.br","263,656","95"
"44","gstatic.com","569,115","95"
"45","news.google.com","669,381","95"
"46","globo.com","377,318","95"
"47","google.co.uk","543,823","95"
"48","w3.org","1,042,097","95"
"49","google.es","403,880","95"
"50","mail.google.com","415,460","95"
"51","policies.google.com","1,000,812","95"
"52","live.com","729,621","95"
"53","whatsapp.com","1,316,272","95"
"54","developers.google.com","851,948","95"
"55","photos.google.com","226,400","95"
"56","hugedomains.com","5,251,206","95"
"57","feedburner.com","1,733,573","95"
"58","paypal.com","857,273","95"
"59","bbc.com","621,261","95"
"60","cnn.com","1,181,404","95"
"61","reuters.com","708,427","95"
"62","myspace.com","1,278,869","95"
"63","slideshare.net","850,500","95"
"64","es.wikipedia.org","749,137","95"
"65","google.de","1,089,803","95"
"66","wikimedia.org","1,328,799","95"
"67","networkadvertising.org","713,464","95"
"68","mail.ru","477,372","95"
"69","nytimes.com","1,639,339","95"
"70","washingtonpost.com","841,813","95"
"71","google.co.jp","620,498","95"
"72","amazon.co.jp","754,608","95"
"73","nih.gov","986,381","95"
"74","t.me","424,361","95"
"75","msn.com","981,478","95"
"76","theguardian.com","1,161,671","95"
"77","ebay.com","884,504","94"
"78","files.wordpress.com","1,949,071","94"
"79","cpanel.net","1,142,003","94"
"80","techcrunch.com","377,972","94"
"81","samsung.com","296,184","94"
"82","hp.com","376,808","94"
"83","apache.org","780,153","94"
"84","mediafire.com","748,691","94"
"85","jimdofree.com","1,590,948","94"
"86","terra.com.br","186,412","94"
"87","wikia.com","472,086","94"
"88","booking.com","349,537","94"
"89","www.wix.com","874,213","94"
"90","myaccount.google.com","245,664","94"
"91","gnu.org","548,961","94"
"92","youronlinechoices.com","529,420","94"
"93","ft.com","334,859","94"
"94","buydomains.com","1,191,093","94"
"95","tools.google.com","1,444,337","94"
"96","archive.org","834,682","94"
"97","translate.google.com","270,050","94"
"98","google.fr","382,034","94"
"99","rt.com","226,600","94"
"100","rakuten.co.jp","573,096","94"
"101","huffingtonpost.com","887,514","94"
"102","search.google.com","792,090","94"
"103","goo.gl","4,119,385","94"
"104","dailymail.co.uk","767,128","94"
"105","independent.co.uk","506,190","94"
